baseline_id,structure,structural_deviation,source_term,source_partition
SB4780,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of blood flow",Sensation of blood flow,remaining_5256
SB4781,whole-organism tissue mechanical and barrier integrity structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of foreign body",Sensation of foreign body,remaining_5256
SB4782,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of heat",Sensation of heat,remaining_5256
SB4783,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of heaviness",Sensation of heaviness,remaining_5256
SB4784,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of pressure",Sensation of pressure,remaining_5256
SB4785,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensation of warmth",Sensation of warmth,remaining_5256
SB4786,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sense of oppression",Sense of oppression,remaining_5256
SB4787,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by sensitisation",Sensitisation,remaining_5256
SB4788,"oral mucosal, gingival, dental, and salivary-interface structure","altered configuration or regulated output of the named structure, expressed as the state described by sensitivity of teeth",Sensitivity of teeth,remaining_5256
SB4789,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Sensorimotor disorder,remaining_5256
SB4790,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Sensory disturbance,remaining_5256
SB4791,peripheral sensory-nerve axonal conduction structure,loss or absence of the named structural component or regulated function,Sensory loss,remaining_5256
SB4792,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by separation",Separation,remaining_5256
SB4793,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Sepsis,remaining_5256
SB4794,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Sepsis neonatal,remaining_5256
SB4795,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Sepsis secondary,remaining_5256
SB4796,"synovial joint cartilage, capsule, fluid, and periarticular structure","localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Septic arthritis streptobacillus,remaining_5256
SB4797,whole-organism integrated physiological structure,systemic perfusion and pressure failure insufficient to sustain normal tissue oxygen delivery,Septic shock,remaining_5256
SB4798,whole-organism integrated physiological structure,abnormal concentration or presence of the named material/cell state in circulating blood,Septicemia,remaining_5256
SB4799,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by seroma",Seroma,remaining_5256
SB4800,whole-organism integrated physiological structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Serositis,remaining_5256
SB4801,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Serotonin syndrome,remaining_5256
SB4802,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by serous retinal detachment",Serous retinal detachment,remaining_5256
SB4803,"circulating-blood biochemical, cellular, and measured-state structure",measured or functional quantity shifted below its reference structural range,Serum albumin decreased,remaining_5256
SB4804,pancreatic exocrine digestive-secretory and ductal structure,measured or functional quantity shifted above its reference structural range,Serum amylase increased,remaining_5256
SB4805,hepatic parenchymal metabolic-secretory structure,measured or functional quantity shifted above its reference structural range,Serum bilirubin increased,remaining_5256
SB4806,extracellular-fluid electrolyte and acid-base balance structure,measured or functional quantity shifted below its reference structural range,Serum calcium decreased,remaining_5256
SB4807,extracellular-fluid electrolyte and acid-base balance structure,measured or functional quantity shifted above its reference structural range,Serum calcium increased,remaining_5256
